id,user_id,first_seen,last_seen,utm_source,utm_medium,utm_campaign,referrer,device_type,utm_content,utm_term,browser,ip_address,country_code
a4fa92e1-b8d8-45eb-9d62-5a18a79c7efe,,Sun Feb 15 2026 15:39:28 GMT+0000 (Greenwich Mean Time),Sun Feb 15 2026 15:39:28 GMT+0000 (Greenwich Mean Time),,,,https://limitless-life-9c8ypdful-marley-evlvfitness-projects.vercel.app/,desktop,,,"{""name"":""Chrome"",""version"":""141.0.7390.0""}",54.193.238.138,Unknown
4a2a1311-923d-442c-9778-0dd528377a20,,Sun Feb 15 2026 15:39:29 GMT+0000 (Greenwich Mean Time),Sun Feb 15 2026 15:39:29 GMT+0000 (Greenwich Mean Time),,,,https://limitless-life-9c8ypdful-marley-evlvfitness-projects.vercel.app/,desktop,,,"{""name"":""Unknown""}",164.92.81.212,Unknown
b23af946-f5dd-4b32-9bd4-05788b7f42b5,,Sun Feb 15 2026 15:39:28 GMT+0000 (Greenwich Mean Time),Sun Feb 15 2026 15:39:28 GMT+0000 (Greenwich Mean Time),,,,https://limitless-life-9c8ypdful-marley-evlvfitness-projects.vercel.app/,desktop,,,"{""name"":""Unknown""}",146.190.145.228,Unknown
f16e415a-9045-4bef-88a6-39b4bf2905bc,,Sun Feb 15 2026 15:39:28 GMT+0000 (Greenwich Mean Time),Sun Feb 15 2026 15:39:28 GMT+0000 (Greenwich Mean Time),,,,https://limitless-life-9c8ypdful-marley-evlvfitness-projects.vercel.app/,desktop,,,"{""name"":""Chrome"",""version"":""141.0.7390.0""}",54.193.238.138,Unknown
ea19dc63-737e-4cfb-b42d-ca512a75eb5a,,Sun Feb 15 2026 15:39:29 GMT+0000 (Greenwich Mean Time),Sun Feb 15 2026 15:39:29 GMT+0000 (Greenwich Mean Time),,,,https://limitless-life-9c8ypdful-marley-evlvfitness-projects.vercel.app/,desktop,,,"{""name"":""Unknown""}",146.190.145.228,Unknown
0f3e9d68-c84a-4eec-83f7-d68d4b8e364f,,Sun Feb 15 2026 15:39:30 GMT+0000 (Greenwich Mean Time),Sun Feb 15 2026 15:39:30 GMT+0000 (Greenwich Mean Time),,,,https://limitless-life-9c8ypdful-marley-evlvfitness-projects.vercel.app/,desktop,,,"{""name"":""Chrome"",""version"":""141.0.7390.0""}",54.67.41.124,Unknown
93129bef-43f0-4fd2-86a0-53ae4a03e4c4,,Sun Feb 15 2026 15:39:30 GMT+0000 (Greenwich Mean Time),Sun Feb 15 2026 15:39:30 GMT+0000 (Greenwich Mean Time),,,,https://limitless-life-9c8ypdful-marley-evlvfitness-projects.vercel.app/,desktop,,,"{""name"":""Chrome"",""version"":""141.0.7390.0""}",54.67.41.124,Unknown
5e92c071-ddd3-49d5-8482-d1e118817f10,,Sun Feb 15 2026 15:39:47 GMT+0000 (Greenwich Mean Time),Sun Feb 15 2026 15:39:47 GMT+0000 (Greenwich Mean Time),,,,https://limitless-life-9c8ypdful-marley-evlvfitness-projects.vercel.app/,desktop,,,"{""name"":""Chrome"",""version"":""141.0.7390.0""}",54.193.238.138,Unknown
d14a6e88-bb62-47cc-816b-f437b704bc3e,,Sun Feb 15 2026 15:39:47 GMT+0000 (Greenwich Mean Time),Sun Feb 15 2026 15:39:47 GMT+0000 (Greenwich Mean Time),,,,https://limitless-life-9c8ypdful-marley-evlvfitness-projects.vercel.app/,desktop,,,"{""name"":""Chrome"",""version"":""141.0.7390.0""}",54.193.238.138,Unknown
1f876cc9-35c9-4be2-8ec9-ff6d8369f04b,,Sun Feb 15 2026 15:40:55 GMT+0000 (Greenwich Mean Time),Sun Feb 15 2026 15:40:55 GMT+0000 (Greenwich Mean Time),,,,https://www.limitless-life.co/,desktop,,,"{""name"":""Unknown""}",202.8.42.39,Unknown
c863cb8d-ff45-45c6-ba04-67b4808e43b9,,Sun Feb 15 2026 15:40:55 GMT+0000 (Greenwich Mean Time),Sun Feb 15 2026 15:40:55 GMT+0000 (Greenwich Mean Time),,,,https://www.limitless-life.co/,desktop,,,"{""name"":""Unknown""}",202.8.42.39,Unknown
